proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
O75122,0.006207558,0.622204196,-0.023674422,0.609560879,0.637233566,-0.256599201,0.658681228,-0.066846104,0.67433564,0.101645607
O75131,-0.08341113,-0.231977535,-0.047555034,-0.408492582,0.129209672,-0.270190896,0.010553289,-0.616854983,-0.304582143,0.009300835
O75145,-0.24531401,0.62933539,-0.7270872,-0.46394988,-0.04998315,-0.03769794,-0.31421469,-0.43479292,-1.24500742,0.14835035
O75146,0.10314061,-0.13535689,0.11911736,0.14871589,0.22462272,-0.13184194,0.18627221,0.07075843,-0.03270573,0.35103488
O75155,-1.477378,-0.1364264,-1.6587342,-1.7161375,-0.5025805,-0.8290291,-0.781315,-1.6216585,-1.5534169,-1.3841178
O75165,-0.69176102,-0.62736162,-0.52579529,-0.45836141,-0.08206438,-0.539814,-1.00111184,-0.50973858,-0.38240337,-0.53006104
O75190,-0.4153521,-0.2289806,-0.2988619,-0.5086696,-0.4420996,-0.4491457,-0.7867458,-0.7289195,-0.9275447,-0.4092944
O75208,-0.225306,-0.2184008,0.487884,0.3075671,0.3853433,0.2343859,0.3744697,0.3192163,-0.5459186,0.323306
O75251,1.2148772,-0.7703136,1.3752185,1.5821051,1.1845985,1.4188184,1.5392584,1.485224,1.5419477,1.2233723
O75306,1.5841915,0.7786354,1.8105712,2.0350432,1.4066375,2.0019569,1.7635024,2.053715,1.9637005,1.8820983
O75323,1.6704135,0.5358109,1.5727623,1.955925,1.94237,1.760309,2.020979,1.4538236,1.6252544,1.6572638
O75334,-4.98E-02,5.27E-01,-3.25E-01,-2.57E-01,1.69E-01,1.34E-08,-7.11E-01,-7.10E-01,-1.99E-01,2.17E-02
O75348,-0.265534,-0.182794,-0.4998143,-0.1142984,-0.116521,-0.5082359,-0.2762905,-0.5559422,-0.4221662,-0.398448
O75363,-0.5584133,-0.1721429,-0.7093703,-0.4579499,0.1187186,-0.7345336,-0.17828,-0.4653876,-0.6131033,0.2479983
O75368,0.03469829,0.03117183,-0.44384152,-0.38044366,-0.1510112,-0.48930286,-0.22027791,-0.50370686,0.04801112,-0.15319543
O75369,-0.5965948,-1.2139891,-0.5729591,-0.6688963,-1.3749,-0.8429804,-0.5886132,-0.8789799,-0.9006357,-0.9786126
O75380,0.2556009,-0.3501511,0.5420894,0.5208335,0.5234008,0.5260758,0.6646508,0.542096,0.4218198,0.264586
O75381,-0.531053593,-1.301539637,-0.25856932,-0.470767927,-0.006643738,-0.503695094,-0.401361143,-0.576075999,-0.509066209,-0.500719746
O75382,0.05281787,0.27243574,-0.20005857,-0.22492279,-0.32462426,-0.13833684,-0.37589522,-0.34014849,-0.01268932,-0.18692482
O75390,2.12219,1.820504,1.988471,2.460305,2.120766,2.309563,2.324733,2.216789,2.365263,2.295438
O75396,-0.07311195,-0.03650779,0.43627681,-0.3535743,-0.17780068,-0.17987766,0.01329659,-0.14171117,-0.33062311,-0.31367454
O75431,0.824691,-0.2853308,0.8405962,1.1431542,0.9477436,0.9456263,0.9722569,1.0514282,1.0186508,0.9029267
O75436,-0.247891429,0.051233264,0.006612974,0.092294689,0.290872501,0.175039652,0.014949858,-0.463679306,0.040596544,-0.206596242
O75438,0.5274242,-0.6341997,0.4440355,0.8075795,0.8743071,0.4702126,0.8939267,0.6222377,0.719902,0.3279874
